Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
147,0.405778,0.822917,0.577565,0.739583,1.193213,0.177083
148,0.395977,0.812500,0.535017,0.739583,1.359382,0.156250
149,0.419139,0.833333,0.525217,0.739583,1.157953,0.239583
150,0.416173,0.854167,0.556206,0.739583,1.178609,0.135417
151,0.491140,0.739583,0.558185,0.770833,1.386829,0.135417
152,0.395048,0.854167,0.526853,0.770833,1.128267,0.281250
153,0.348345,0.864583,0.600412,0.697917,1.387559,0.208333
154,0.407770,0.833333,0.479625,0.770833,1.199508,0.197917
155,0.325286,0.916667,0.511513,0.781250,1.203541,0.156250
156,0.273754,0.927083,0.596834,0.760417,1.252371,0.166667
157,0.515341,0.729167,0.551245,0.729167,1.168764,0.250000
158,0.366349,0.854167,0.461646,0.833333,1.335121,0.197917
159,0.503915,0.708333,0.588716,0.708333,1.191959,0.208333
160,0.417679,0.802083,0.600488,0.697917,1.049446,0.312500
161,0.406149,0.833333,0.510243,0.760417,1.286261,0.135417
162,0.449454,0.802083,0.473435,0.791667,1.142800,0.229167
