Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
157,0.356361,0.859375,0.649737,0.640625,3.654119,0.000000
158,0.944797,0.593750,0.380116,0.859375,3.138594,0.000000
159,0.654408,0.671875,0.665209,0.625000,3.230446,0.031250
160,0.790889,0.609375,0.609380,0.671875,2.492924,0.000000
161,0.419734,0.765625,0.612198,0.687500,2.836245,0.046875
162,0.798999,0.593750,0.577694,0.687500,3.518259,0.000000
163,0.739528,0.671875,0.732801,0.531250,2.985546,0.000000
164,0.692637,0.640625,0.617822,0.625000,2.439245,0.015625
165,0.546005,0.750000,0.724462,0.562500,2.420024,0.015625
166,0.604945,0.640625,0.635541,0.656250,2.729822,0.046875
167,0.704291,0.625000,0.755078,0.593750,4.028424,0.000000
168,0.872315,0.578125,0.567041,0.750000,3.311377,0.000000
169,0.745553,0.718750,0.698990,0.578125,2.497988,0.000000
170,0.668124,0.593750,0.830838,0.515625,2.310597,0.000000
171,0.676075,0.562500,0.764494,0.562500,2.419547,0.000000
172,0.508151,0.765625,0.843588,0.484375,2.708560,0.000000
173,0.762114,0.562500,0.741217,0.531250,2.728879,0.000000
174,0.699286,0.593750,0.841854,0.500000,3.092534,0.062500
175,0.899576,0.609375,0.731261,0.531250,6.394197,0.015625
176,1.956758,0.515625,0.924919,0.437500,4.274208,0.000000
177,0.913466,0.546875,0.433302,0.859375,2.542005,0.000000
178,0.568271,0.656250,0.724289,0.546875,2.585115,0.000000
179,0.572628,0.687500,0.498831,0.828125,2.572823,0.000000
180,0.763664,0.562500,0.549027,0.687500,2.366678,0.000000
181,0.570695,0.703125,0.630786,0.593750,2.981221,0.000000
182,0.819962,0.500000,0.515497,0.812500,2.491987,0.000000
183,0.660071,0.656250,0.582742,0.656250,2.867192,0.000000
184,0.812196,0.593750,0.528363,0.703125,2.302056,0.000000
185,0.487762,0.765625,0.697460,0.562500,3.028722,0.000000
186,0.591220,0.609375,0.600020,0.671875,2.950551,0.000000
187,0.749515,0.484375,0.430154,0.859375,2.229899,0.000000
188,0.442923,0.843750,0.581670,0.656250,3.342187,0.000000
189,0.841006,0.500000,0.468231,0.781250,2.262300,0.015625
190,0.469272,0.796875,0.675518,0.656250,2.242936,0.015625
191,0.649348,0.671875,0.499579,0.765625,3.027835,0.015625
192,0.767342,0.609375,0.569048,0.734375,2.734816,0.046875
193,0.821501,0.640625,0.715581,0.609375,4.308996,0.000000
194,1.191062,0.531250,1.054780,0.468750,3.521848,0.046875
195,0.648425,0.593750,0.303797,0.921875,4.299808,0.000000
196,0.451514,0.765625,0.921687,0.375000,2.289604,0.015625
197,0.589727,0.703125,0.704874,0.656250,2.214762,0.015625
198,0.742411,0.531250,0.631292,0.656250,2.295591,0.015625
199,0.684371,0.562500,0.790116,0.562500,2.432423,0.000000
200,0.723079,0.593750,0.564872,0.671875,2.718379,0.000000
201,0.668407,0.640625,0.626064,0.796875,2.557176,0.000000
202,0.615339,0.687500,0.632211,0.640625,2.430814,0.000000
203,0.581124,0.640625,0.660048,0.640625,2.506987,0.015625
204,0.768958,0.515625,0.407393,0.843750,2.491621,0.015625
205,0.707311,0.640625,1.117634,0.437500,2.917998,0.000000
206,0.622391,0.640625,0.956201,0.453125,2.494925,0.000000
207,0.510776,0.734375,0.567879,0.671875,2.344492,0.031250
208,0.732656,0.593750,0.551027,0.656250,2.213088,0.000000
209,0.515669,0.687500,0.769296,0.578125,2.359427,0.000000
210,0.645717,0.687500,0.573929,0.781250,2.943186,0.015625
211,0.876353,0.468750,0.480604,0.750000,3.215101,0.015625
212,0.405212,0.796875,1.001069,0.328125,3.773140,0.000000
213,1.136738,0.437500,0.439361,0.859375,2.956863,0.000000
214,0.596085,0.750000,0.668883,0.609375,3.206524,0.000000
215,0.672765,0.640625,0.424299,0.890625,2.374000,0.031250
216,0.597483,0.671875,0.753347,0.609375,2.753255,0.031250
217,0.588930,0.671875,0.602854,0.640625,3.095996,0.046875
218,0.886790,0.593750,0.629647,0.671875,2.817807,0.000000
219,0.841935,0.593750,0.909642,0.437500,2.419347,0.000000
220,0.741080,0.578125,0.509664,0.765625,2.311716,0.046875
221,0.730094,0.593750,0.667633,0.640625,1.890638,0.015625
222,0.497102,0.781250,0.909934,0.468750,2.133585,0.015625
223,0.564793,0.671875,0.698575,0.640625,2.080848,0.000000
224,0.621853,0.593750,0.663421,0.656250,2.219202,0.000000
225,0.679050,0.640625,0.567516,0.703125,2.512300,0.000000
226,0.717663,0.671875,0.519799,0.734375,2.978039,0.000000
227,0.643999,0.640625,1.109587,0.203125,3.204309,0.125000
228,0.881654,0.515625,1.069511,0.328125,5.433749,0.015625
229,0.839080,0.609375,1.759321,0.125000,2.469234,0.062500
230,0.952690,0.531250,0.933729,0.437500,2.890064,0.000000
231,0.799077,0.453125,0.779935,0.437500,2.395314,0.031250
232,0.524432,0.734375,1.498816,0.218750,1.880034,0.046875
233,0.740217,0.515625,1.184785,0.359375,2.393220,0.000000
234,0.854101,0.406250,1.021753,0.375000,2.602841,0.046875
235,1.011926,0.406250,0.564425,0.796875,2.508665,0.015625
236,0.805593,0.500000,0.612448,0.625000,1.975545,0.062500
237,0.584408,0.718750,0.782012,0.578125,2.194467,0.031250
238,0.762848,0.593750,0.662027,0.625000,1.642095,0.015625
239,0.519518,0.781250,0.826856,0.406250,1.810681,0.015625
240,0.687902,0.687500,0.739817,0.546875,2.045680,0.046875
241,0.630460,0.562500,0.981061,0.421875,1.954799,0.031250
242,0.701438,0.578125,0.849786,0.531250,1.999304,0.046875
243,0.937713,0.500000,0.610191,0.734375,2.824534,0.046875
244,1.114071,0.453125,0.787833,0.546875,1.893990,0.046875
245,0.496740,0.796875,1.041423,0.218750,2.071601,0.031250
246,0.745378,0.531250,0.907066,0.359375,1.764989,0.031250
247,0.607005,0.656250,0.785642,0.515625,1.766011,0.046875
248,0.734999,0.546875,1.110258,0.281250,2.700010,0.046875
249,0.812509,0.656250,0.820009,0.375000,2.956963,0.062500
250,0.874015,0.546875,0.722145,0.500000,2.582811,0.000000
251,0.818705,0.562500,0.979376,0.359375,1.804773,0.000000
252,0.926586,0.375000,0.900786,0.531250,2.067337,0.000000
253,0.888718,0.453125,0.721824,0.515625,1.870320,0.078125
254,0.760448,0.578125,0.745350,0.500000,2.034353,0.078125
255,0.897779,0.406250,0.767958,0.453125,2.056392,0.093750
256,0.747944,0.562500,0.855706,0.421875,1.866672,0.046875
257,0.683711,0.578125,0.805488,0.453125,1.770762,0.015625
258,0.640014,0.656250,0.750819,0.515625,1.564940,0.140625
259,0.709456,0.562500,1.017624,0.312500,2.053079,0.125000
260,1.140842,0.484375,0.643649,0.703125,2.470882,0.031250
261,0.869412,0.515625,0.897043,0.390625,1.854305,0.093750
262,0.683958,0.593750,0.999302,0.281250,2.166658,0.046875
263,0.674087,0.703125,0.972680,0.421875,1.950415,0.062500
264,0.816029,0.562500,0.792995,0.484375,2.674702,0.000000
265,1.211530,0.312500,0.766551,0.562500,1.801542,0.078125
266,0.667732,0.640625,0.903186,0.296875,1.767934,0.031250
267,0.748005,0.468750,1.048106,0.390625,1.658200,0.078125
268,0.928095,0.437500,1.262745,0.296875,2.287647,0.062500
269,0.916898,0.546875,1.006850,0.281250,1.873659,0.000000
270,0.829287,0.531250,1.028753,0.390625,1.923827,0.015625
271,0.812560,0.531250,0.981529,0.343750,1.737915,0.046875
272,0.866436,0.500000,0.878995,0.437500,1.808318,0.000000
273,0.773057,0.484375,1.326890,0.234375,1.891320,0.046875
274,0.816794,0.531250,1.160483,0.250000,1.815689,0.031250
275,1.084398,0.312500,1.173655,0.140625,1.589820,0.015625
276,0.886881,0.328125,1.195119,0.250000,1.436327,0.093750
277,0.860321,0.390625,1.328459,0.109375,1.660390,0.078125
278,0.966055,0.406250,1.177105,0.218750,1.632984,0.062500
279,0.903305,0.500000,1.229736,0.203125,1.769712,0.093750
280,1.191763,0.281250,0.763577,0.468750,1.376842,0.031250
281,0.722895,0.609375,1.176633,0.203125,1.458075,0.015625
282,0.831088,0.484375,1.194746,0.171875,1.946393,0.031250
283,0.996539,0.421875,0.829423,0.421875,1.539368,0.078125
284,0.704615,0.593750,0.857819,0.500000,1.379866,0.109375
285,0.823978,0.421875,1.264126,0.203125,1.565893,0.015625
286,0.865281,0.437500,1.109333,0.250000,1.588038,0.125000
287,0.677127,0.500000,1.480805,0.062500,2.187293,0.015625
288,1.199016,0.187500,1.226574,0.234375,1.527229,0.031250
289,0.881311,0.390625,1.102407,0.187500,1.975261,0.093750
290,0.952097,0.328125,1.039282,0.281250,1.454542,0.109375
291,0.910367,0.281250,1.261819,0.140625,1.348846,0.156250
292,1.088520,0.359375,1.021771,0.406250,1.881649,0.078125
293,1.171999,0.375000,1.367697,0.125000,4.430362,0.109375
294,0.881922,0.640625,1.589054,0.218750,1.317184,0.093750
295,0.968369,0.437500,0.871394,0.296875,2.039977,0.000000
296,1.010664,0.453125,0.969880,0.406250,1.486955,0.109375
297,0.733847,0.609375,1.200496,0.250000,1.521641,0.109375
298,0.848404,0.468750,1.208649,0.187500,1.606405,0.062500
299,1.047845,0.265625,0.991999,0.296875,1.474568,0.093750
300,0.806436,0.515625,0.980003,0.296875,1.631655,0.000000
301,0.853243,0.421875,0.979139,0.234375,1.350723,0.031250
302,0.946366,0.359375,0.877729,0.359375,1.726671,0.078125
303,1.073923,0.265625,0.889705,0.406250,1.521317,0.125000
304,0.961482,0.390625,0.934477,0.359375,1.464132,0.109375
305,0.925762,0.390625,1.099789,0.234375,1.531451,0.031250
306,0.961135,0.390625,1.012230,0.218750,1.575592,0.093750
307,0.880902,0.421875,0.994483,0.328125,1.301067,0.093750
308,0.832358,0.437500,1.145055,0.203125,1.434328,0.109375
309,0.880986,0.421875,1.126264,0.218750,1.558267,0.031250
310,1.008695,0.281250,1.001846,0.265625,1.521348,0.031250
311,0.962018,0.375000,0.995483,0.265625,1.356461,0.031250
312,0.998451,0.296875,0.974227,0.234375,1.331725,0.078125
313,0.865741,0.359375,1.063539,0.250000,1.261788,0.109375
314,0.915294,0.406250,1.299953,0.156250,1.658743,0.093750
315,1.137522,0.406250,1.069738,0.140625,2.011940,0.078125
316,1.135164,0.312500,1.276587,0.203125,1.592808,0.109375
317,0.958518,0.390625,1.369797,0.093750,1.221063,0.125000
318,0.865005,0.296875,1.177326,0.296875,1.402323,0.062500
319,0.893559,0.421875,1.139149,0.203125,1.520320,0.015625
320,1.095391,0.171875,0.961761,0.359375,1.289841,0.078125
321,0.943680,0.328125,1.122162,0.281250,1.147899,0.125000
322,0.884323,0.265625,1.074139,0.187500,1.186156,0.140625
323,0.885030,0.343750,0.994984,0.328125,1.267068,0.125000
324,0.925036,0.281250,0.920317,0.281250,1.168637,0.171875
325,0.935630,0.234375,0.997822,0.250000,1.234213,0.140625
326,0.918952,0.421875,0.938465,0.203125,1.490841,0.078125
327,0.968398,0.468750,0.989121,0.312500,1.829877,0.109375
328,1.278622,0.312500,1.135599,0.281250,1.691607,0.078125
329,0.760153,0.531250,1.408075,0.046875,1.616228,0.078125
330,0.952927,0.390625,1.192942,0.187500,1.806429,0.000000
331,1.029631,0.234375,0.934259,0.312500,1.364412,0.062500
332,0.909745,0.343750,0.910285,0.343750,1.228396,0.093750
333,0.957888,0.312500,0.878866,0.390625,1.198305,0.125000
334,0.806192,0.484375,0.961686,0.281250,1.133408,0.234375
335,0.946748,0.281250,1.100312,0.234375,1.172948,0.140625
336,0.978112,0.187500,1.133134,0.187500,1.183905,0.203125
337,0.791573,0.468750,1.087331,0.234375,1.377905,0.062500
338,0.919158,0.328125,1.117065,0.203125,1.383336,0.093750
339,0.882024,0.390625,1.150618,0.125000,1.403964,0.046875
340,1.086481,0.203125,1.041432,0.234375,1.524138,0.062500
341,1.102866,0.171875,1.015334,0.203125,1.823538,0.062500
342,0.977734,0.453125,1.127533,0.125000,1.412271,0.046875
343,0.943081,0.343750,0.945300,0.234375,1.185070,0.109375
344,0.914948,0.343750,0.961826,0.265625,1.048361,0.171875
345,0.925829,0.296875,1.026468,0.250000,1.240749,0.125000
346,1.110004,0.281250,1.075575,0.328125,1.363945,0.187500
347,0.981627,0.437500,1.076851,0.140625,1.298543,0.031250
