Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
219,0.741788,0.593750,0.701347,0.578125,2.223260,0.046875
220,0.989037,0.437500,1.136294,0.640625,1.592223,0.109375
221,0.750599,0.625000,0.867953,0.390625,2.688044,0.203125
222,0.996689,0.531250,0.802626,0.484375,2.483793,0.062500
223,0.768110,0.593750,0.784900,0.546875,1.828926,0.062500
224,0.543837,0.765625,0.979671,0.375000,2.408667,0.109375
225,0.806358,0.531250,0.989244,0.281250,2.261977,0.000000
226,0.668767,0.593750,0.744852,0.468750,2.539804,0.093750
227,0.893469,0.468750,0.702075,0.578125,1.999721,0.015625
228,0.657652,0.687500,0.897647,0.515625,2.365029,0.062500
229,0.963514,0.484375,0.727513,0.531250,2.271569,0.125000
230,0.713399,0.562500,0.594622,0.734375,1.570199,0.031250
231,0.587278,0.671875,0.801069,0.515625,1.663923,0.031250
232,0.563371,0.703125,0.745555,0.593750,1.997490,0.000000
233,0.812073,0.484375,0.736332,0.468750,1.713183,0.109375
234,0.705827,0.531250,1.036126,0.625000,1.649558,0.093750
235,0.797228,0.546875,0.943098,0.296875,2.252986,0.062500
236,0.897231,0.546875,0.733532,0.625000,1.796162,0.062500
237,0.648759,0.578125,0.767396,0.531250,1.505265,0.062500
238,0.630552,0.578125,0.873718,0.375000,1.869864,0.140625
239,0.687281,0.531250,0.849871,0.609375,2.096096,0.015625
240,0.925570,0.359375,0.781907,0.453125,2.316927,0.000000
241,0.979094,0.468750,1.002533,0.359375,2.683535,0.140625
242,0.746199,0.578125,1.014174,0.468750,1.517475,0.046875
243,0.479150,0.828125,1.190287,0.171875,2.262015,0.000000
244,1.011706,0.328125,0.925789,0.390625,1.912936,0.109375
245,0.836437,0.453125,0.810877,0.531250,1.536043,0.062500
246,0.837211,0.453125,0.943489,0.375000,1.478971,0.093750
247,0.893884,0.390625,0.992018,0.375000,1.497696,0.156250
248,0.569292,0.609375,1.169895,0.187500,1.677942,0.062500
249,0.957952,0.406250,0.868732,0.359375,3.124214,0.000000
250,1.012036,0.500000,0.959619,0.468750,2.827996,0.031250
251,0.969274,0.562500,0.888976,0.296875,2.806048,0.171875
252,0.827245,0.484375,0.948859,0.421875,1.446376,0.109375
253,0.647217,0.656250,1.157294,0.265625,1.444503,0.015625
254,0.907074,0.328125,0.934345,0.375000,1.442274,0.125000
255,0.782346,0.546875,1.108096,0.250000,1.633807,0.187500
256,0.850838,0.390625,0.948943,0.359375,1.934652,0.156250
257,0.982711,0.390625,0.976460,0.343750,2.082978,0.093750
258,1.013792,0.390625,0.809026,0.546875,1.806571,0.062500
259,0.870239,0.437500,0.967437,0.390625,1.527425,0.031250
260,0.805018,0.421875,0.981544,0.328125,1.589320,0.015625
261,0.865674,0.343750,0.930559,0.343750,1.743679,0.078125
262,0.888544,0.359375,0.901431,0.437500,1.785540,0.015625
263,0.832763,0.515625,1.090314,0.171875,1.769600,0.078125
264,0.993753,0.218750,0.879959,0.343750,1.619284,0.062500
265,0.855939,0.531250,0.889989,0.328125,1.654958,0.062500
266,0.961949,0.390625,0.880494,0.437500,1.464798,0.031250
267,0.758095,0.515625,1.070727,0.406250,1.388138,0.078125
268,0.834229,0.484375,0.990072,0.265625,2.258247,0.031250
269,1.036975,0.406250,0.906402,0.531250,1.799279,0.046875
270,1.004144,0.359375,0.823260,0.500000,1.835649,0.046875
271,0.636675,0.718750,1.131372,0.250000,1.667686,0.015625
272,0.840716,0.406250,0.995267,0.234375,1.400354,0.031250
273,0.736542,0.484375,1.122357,0.218750,1.559893,0.000000
274,0.872308,0.375000,0.916816,0.343750,1.473512,0.031250
275,0.948017,0.312500,0.791162,0.421875,1.869365,0.015625
276,1.085328,0.375000,0.910340,0.359375,1.383995,0.000000
277,0.730282,0.484375,1.189305,0.218750,1.604894,0.093750
278,0.855885,0.406250,1.060045,0.359375,1.689291,0.093750
279,0.917964,0.500000,0.963900,0.296875,1.723008,0.046875
280,0.923932,0.468750,0.844836,0.515625,1.426282,0.078125
281,0.864877,0.406250,1.028675,0.234375,1.353585,0.140625
282,0.735368,0.515625,1.037356,0.265625,1.492438,0.093750
283,0.753642,0.531250,1.271296,0.156250,1.610154,0.046875
284,0.976335,0.281250,0.949776,0.218750,1.745603,0.031250
285,0.829659,0.484375,0.918517,0.390625,1.589158,0.015625
286,0.944787,0.328125,0.981770,0.375000,1.298163,0.125000
287,0.761298,0.515625,1.042735,0.218750,1.291340,0.093750
288,0.831502,0.328125,0.993358,0.281250,1.354991,0.109375
289,0.807531,0.500000,1.088258,0.234375,1.867761,0.109375
290,0.978359,0.484375,0.849248,0.390625,1.800071,0.015625
291,0.928285,0.484375,1.025572,0.250000,1.854421,0.062500
292,0.862243,0.328125,0.861489,0.468750,1.820380,0.000000
293,0.809157,0.468750,0.943666,0.359375,1.750276,0.031250
294,0.930994,0.359375,1.000786,0.250000,1.804674,0.046875
295,0.859558,0.468750,0.928371,0.375000,1.436374,0.078125
296,0.861056,0.500000,0.772709,0.406250,1.342235,0.031250
297,0.699761,0.531250,0.970124,0.359375,1.383631,0.125000
298,0.771390,0.484375,1.049682,0.109375,1.637615,0.015625
299,0.890549,0.390625,0.994101,0.296875,1.288079,0.187500
300,0.908887,0.343750,0.888056,0.343750,1.467274,0.062500
301,0.747142,0.531250,1.168447,0.218750,1.644790,0.000000
302,0.915221,0.453125,0.837995,0.406250,1.782096,0.062500
303,0.965550,0.375000,0.670024,0.546875,1.438828,0.015625
304,0.729795,0.531250,0.828651,0.406250,1.339746,0.093750
305,0.720283,0.500000,0.951539,0.343750,1.325011,0.125000
306,0.740885,0.484375,0.886866,0.421875,1.471305,0.031250
307,0.836186,0.375000,0.907946,0.312500,1.355259,0.109375
308,0.914392,0.421875,0.817656,0.406250,1.357267,0.234375
309,0.764938,0.515625,0.910320,0.390625,1.237736,0.046875
310,0.686919,0.578125,1.017623,0.296875,1.372809,0.078125
311,0.841886,0.421875,0.992393,0.359375,1.551849,0.015625
312,0.880931,0.453125,0.822381,0.562500,1.339579,0.093750
313,0.696781,0.593750,0.884805,0.281250,1.501598,0.109375
314,0.843590,0.546875,1.034636,0.281250,1.943087,0.000000
315,0.898960,0.390625,0.992737,0.234375,1.737831,0.015625
316,0.946029,0.343750,0.866502,0.328125,1.325024,0.156250
317,0.780735,0.421875,1.009323,0.375000,1.367965,0.093750
