Step,DiscLoss,DiscAcc,GANLoss,GANAcc
258,0.000000,0.500000,16.118095,0.000000
259,0.000000,0.500000,16.118095,0.000000
260,0.000000,0.500000,16.118095,0.000000
261,0.000000,0.500000,16.118095,0.000000
262,0.000000,0.500000,16.118095,0.000000
263,0.000000,0.500000,16.118095,0.000000
264,0.000000,0.500000,16.118095,0.000000
265,0.000000,0.500000,16.118095,0.000000
266,0.000000,0.500000,16.118095,0.000000
267,0.000000,0.500000,16.118095,0.000000
268,0.000001,0.500000,16.118095,0.000000
269,0.000001,0.500000,16.118095,0.000000
270,0.000001,0.500000,16.118095,0.000000
271,0.000001,0.500000,16.118095,0.000000
272,0.000001,0.500000,16.118095,0.000000
273,0.000001,0.500000,16.118095,0.000000
274,0.000001,0.500000,16.118095,0.000000
275,0.000001,0.500000,16.118095,0.000000
276,0.000001,0.500000,16.118095,0.000000
277,0.000001,0.500000,16.118095,0.000000
278,0.000001,0.500000,16.118095,0.000000
279,0.000001,0.500000,16.118095,0.000000
280,0.000001,0.500000,16.118095,0.000000
281,0.000001,0.500000,16.118095,0.000000
282,0.000001,0.500000,16.118095,0.000000
283,0.000001,0.500000,16.118095,0.000000
284,0.000001,0.500000,16.118095,0.000000
285,0.000001,0.500000,16.118095,0.000000
286,0.000001,0.500000,16.118095,0.000000
287,0.000001,0.500000,16.118095,0.000000
288,0.000001,0.500000,16.118095,0.000000
289,0.000001,0.500000,16.118095,0.000000
290,0.000001,0.500000,16.118095,0.000000
291,0.000001,0.500000,16.118095,0.000000
292,0.000001,0.500000,16.118095,0.000000
293,0.000001,0.500000,16.118095,0.000000
294,0.000001,0.500000,16.118095,0.000000
295,0.000001,0.500000,16.118095,0.000000
296,0.000001,0.500000,16.118095,0.000000
297,0.000001,0.500000,16.118095,0.000000
298,0.000001,0.500000,16.118095,0.000000
299,0.000001,0.500000,16.118095,0.000000
300,0.000001,0.500000,16.118095,0.000000
301,0.000001,0.500000,16.118095,0.000000
302,0.000001,0.500000,16.118095,0.000000
303,0.000001,0.500000,16.118095,0.000000
304,0.000001,0.500000,16.118095,0.000000
305,0.000001,0.500000,16.118095,0.000000
306,0.000001,0.500000,16.118095,0.000000
307,0.000001,0.500000,16.118095,0.000000
308,0.000001,0.500000,16.118095,0.000000
309,0.000001,0.500000,16.118095,0.000000
310,0.000001,0.500000,16.118095,0.000000
311,0.000001,0.500000,16.118095,0.000000
312,0.000001,0.500000,16.118095,0.000000
313,0.000001,0.500000,16.118095,0.000000
314,0.000001,0.500000,16.118095,0.000000
315,0.000001,0.500000,16.118095,0.000000
316,0.000001,0.500000,16.118095,0.000000
317,0.000001,0.500000,16.118095,0.000000
318,0.000001,0.500000,16.118095,0.000000
319,0.000001,0.500000,16.118095,0.000000
320,0.000001,0.500000,16.118095,0.000000
321,0.000001,0.500000,16.118095,0.000000
322,0.000001,0.500000,16.118095,0.000000
323,0.000001,0.500000,16.118095,0.000000
324,0.000001,0.500000,16.118095,0.000000
325,0.000001,0.500000,16.118095,0.000000
326,0.000001,0.500000,16.118095,0.000000
327,0.000001,0.500000,16.118095,0.000000
328,0.000001,0.500000,16.118095,0.000000
329,0.000001,0.500000,16.118095,0.000000
330,0.000001,0.500000,16.118095,0.000000
331,0.000001,0.500000,16.118095,0.000000
332,0.000001,0.500000,16.118095,0.000000
333,0.000001,0.500000,16.118095,0.000000
334,0.000001,0.500000,16.118095,0.000000
335,0.000001,0.500000,16.118095,0.000000
336,0.000001,0.500000,16.118095,0.000000
337,0.000001,0.500000,16.118095,0.000000
338,0.000001,0.500000,16.118095,0.000000
339,0.000001,0.500000,16.118095,0.000000
340,0.000001,0.500000,16.118095,0.000000
341,0.000001,0.500000,16.118095,0.000000
342,0.000001,0.500000,16.118095,0.000000
343,0.000001,0.500000,16.118095,0.000000
344,0.000001,0.500000,16.118095,0.000000
345,0.000001,0.500000,16.118095,0.000000
346,0.000001,0.500000,16.118095,0.000000
347,0.000001,0.500000,16.118095,0.000000
348,0.000001,0.500000,16.118095,0.000000
349,0.000001,0.500000,16.118095,0.000000
350,0.000001,0.500000,16.118095,0.000000
351,0.000001,0.500000,16.118095,0.000000
352,0.000001,0.500000,16.118095,0.000000
353,0.000001,0.500000,16.118095,0.000000
354,0.000001,0.500000,16.118095,0.000000
355,0.000001,0.500000,16.118095,0.000000
356,0.000001,0.500000,16.118095,0.000000
357,0.000001,0.500000,16.118095,0.000000
358,0.000001,0.500000,16.118095,0.000000
359,0.000001,0.500000,16.118095,0.000000
360,0.000001,0.500000,16.118095,0.000000
361,0.000001,0.500000,16.118095,0.000000
362,0.000001,0.500000,16.118095,0.000000
363,0.000001,0.500000,16.118095,0.000000
364,0.000001,0.500000,16.118095,0.000000
365,0.000001,0.500000,16.118095,0.000000
366,0.000001,0.500000,16.118095,0.000000
367,0.000001,0.500000,16.118095,0.000000
368,0.000001,0.500000,16.118095,0.000000
369,0.000001,0.500000,16.118095,0.000000
370,0.000001,0.500000,16.118095,0.000000
371,0.000001,0.500000,16.118095,0.000000
372,0.000001,0.500000,16.118095,0.000000
373,0.000001,0.500000,16.118095,0.000000
374,0.000001,0.500000,16.118095,0.000000
375,0.000001,0.500000,16.118095,0.000000
376,0.000001,0.500000,16.118095,0.000000
377,0.000001,0.500000,16.118095,0.000000
378,0.000001,0.500000,16.118095,0.000000
379,0.000001,0.500000,16.118095,0.000000
380,0.000001,0.500000,16.118095,0.000000
381,0.000001,0.500000,16.118095,0.000000
382,0.000001,0.500000,16.118095,0.000000
383,0.000001,0.500000,16.118095,0.000000
384,0.000001,0.500000,16.118095,0.000000
385,0.000001,0.500000,16.118095,0.000000
386,0.000001,0.500000,16.118095,0.000000
387,0.000001,0.500000,16.118095,0.000000
388,0.000001,0.500000,16.118095,0.000000
389,0.000001,0.500000,16.118095,0.000000
390,0.000001,0.500000,16.118095,0.000000
391,0.000001,0.500000,16.118095,0.000000
392,0.000001,0.500000,16.118095,0.000000
393,0.000001,0.500000,16.118095,0.000000
394,0.000001,0.500000,16.118095,0.000000
395,0.000001,0.500000,16.118095,0.000000
396,0.000001,0.500000,16.118095,0.000000
