Step,DiscLoss,DiscAcc,GANLoss,GANAcc
278,0.699282,0.570312,1.026071,0.265625
279,0.691374,0.578125,1.383931,0.046875
280,0.728515,0.460938,1.335778,0.078125
281,0.820648,0.492188,1.587370,0.031250
282,0.869458,0.484375,1.238458,0.015625
283,0.743578,0.492188,0.944752,0.343750
284,0.673540,0.609375,0.941366,0.187500
285,0.680727,0.539062,0.952535,0.218750
286,0.636292,0.585938,1.115611,0.265625
287,0.734870,0.500000,1.691302,0.093750
288,0.985374,0.398438,1.685724,0.000000
289,0.784854,0.507812,1.207706,0.062500
290,0.715780,0.515625,1.044354,0.187500
291,0.649941,0.570312,1.327978,0.031250
292,0.732779,0.523438,1.337180,0.078125
293,0.722060,0.492188,1.721828,0.000000
294,0.716209,0.515625,0.663406,0.578125
295,0.716967,0.515625,1.446280,0.000000
296,0.745309,0.484375,0.705248,0.546875
297,0.731751,0.531250,1.191723,0.046875
298,0.742110,0.554688,0.924313,0.218750
299,0.768576,0.484375,1.487723,0.031250
300,0.772297,0.453125,0.768535,0.500000
301,0.765633,0.570312,1.730391,0.000000
302,0.900804,0.453125,1.316067,0.203125
303,0.996331,0.414062,1.275850,0.171875
304,0.692239,0.640625,0.982002,0.140625
305,0.653530,0.593750,1.076636,0.109375
306,0.626554,0.656250,0.780313,0.406250
307,0.680458,0.578125,1.188685,0.046875
308,0.662593,0.570312,0.815960,0.359375
309,0.698693,0.570312,1.192087,0.171875
310,0.714855,0.500000,0.787134,0.375000
311,0.661784,0.664062,1.186379,0.046875
312,0.739833,0.492188,0.872340,0.343750
313,0.741274,0.531250,1.524036,0.000000
314,0.757100,0.554688,0.708016,0.546875
315,0.768454,0.500000,1.356465,0.078125
316,0.767007,0.515625,0.846075,0.265625
317,0.774436,0.484375,1.821807,0.046875
318,1.109486,0.289062,1.627458,0.062500
319,0.778339,0.531250,1.074894,0.171875
320,0.874265,0.414062,1.440839,0.171875
321,0.768619,0.468750,1.274299,0.046875
322,0.771551,0.484375,0.790450,0.390625
323,0.733168,0.492188,1.225113,0.000000
324,0.771006,0.507812,0.936463,0.234375
