Step,DiscLoss,DiscAcc,GANLoss,GANAcc
228,0.000000,0.500000,16.118095,0.000000
229,0.000000,0.500000,16.118095,0.000000
230,0.000000,0.500000,16.118095,0.000000
231,0.000000,0.500000,16.118095,0.000000
232,0.000000,0.500000,16.118095,0.000000
233,0.000000,0.500000,16.118095,0.000000
234,0.000000,0.500000,16.118095,0.000000
235,0.000000,0.500000,16.118095,0.000000
236,0.000000,0.500000,16.118095,0.000000
237,0.000000,0.500000,16.118095,0.000000
238,0.000000,0.500000,16.118095,0.000000
239,0.000000,0.500000,16.118095,0.000000
240,0.000000,0.500000,16.118095,0.000000
241,0.000000,0.500000,16.118095,0.000000
242,0.000000,0.500000,16.118095,0.000000
243,0.000000,0.500000,16.118095,0.000000
244,0.000001,0.500000,16.118095,0.000000
245,0.000001,0.500000,16.118095,0.000000
246,0.000001,0.500000,15.414875,0.000000
247,0.000001,0.500000,16.118095,0.000000
248,0.000001,0.500000,14.714381,0.000000
249,0.000001,0.500000,16.118095,0.000000
250,0.000001,0.500000,14.674629,0.000000
251,0.000001,0.500000,16.118095,0.000000
252,0.000001,0.500000,14.690661,0.000000
253,0.000001,0.500000,16.118095,0.000000
254,0.000001,0.500000,14.453172,0.000000
255,0.000001,0.500000,16.118095,0.000000
256,0.000001,0.500000,14.246657,0.000000
257,0.000001,0.500000,16.118095,0.000000
258,0.000001,0.500000,14.098758,0.000000
259,0.000001,0.500000,16.118095,0.000000
260,0.000001,0.500000,13.815814,0.000000
261,0.000001,0.500000,16.118095,0.000000
262,0.000001,0.500000,13.409593,0.000000
263,0.000001,0.500000,16.118095,0.000000
264,0.000001,0.500000,13.075032,0.000000
265,0.000001,0.500000,16.118095,0.000000
266,0.000001,0.500000,12.809601,0.000000
267,0.000001,0.500000,16.118095,0.000000
268,0.000001,0.500000,12.894277,0.000000
269,0.000001,0.500000,16.118095,0.000000
270,0.000001,0.500000,13.166371,0.000000
271,0.000001,0.500000,16.118095,0.000000
272,0.000001,0.500000,13.139520,0.000000
273,0.000001,0.500000,16.118095,0.000000
274,0.000001,0.500000,13.130531,0.000000
275,0.000001,0.500000,16.118095,0.000000
276,0.000001,0.500000,12.817723,0.000000
277,0.000001,0.500000,16.118095,0.000000
278,0.000001,0.500000,12.432357,0.000000
279,0.000001,0.500000,16.118095,0.000000
280,0.000001,0.500000,12.633990,0.000000
